id,user_posted,name,description,date_posted,photos,url,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details,external_image_urls,videos,quoted_post
"1868428607451799983","Glo███ews███","Glo███ews███","Com o fim da ditadura Assad, muitos sírios consideram voltar para casa. 12 milhões fugiram desde o início da guerra civil, há 13 anos. Países europeus estão revendo políticas de refúgio a sírios.

➡ Assista à #GloboNews:","""2024-12-15T22:51:08.000Z""","null","https://x.com/GloboNews/status/1868428607451799983","null",2,1,33,8369,"http://glo.bo/39WjXAu","[""GloboNews"",""GloboNewsInternacional""]",5771758,"Nunca desliga",222223,"https://pbs.twimg.com/profile_images/1559102712435933185/mYnEVnNs_normal.jpg",122,false,1,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","[{""duration"":148167,""video_url"":""https://video.twimg.com/amplify_video/1868428486072754176/vid/avc1/1920x1080/mbs1ZCAD9yOxeEoe.mp4?tag=16""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868159094567121215","bil███ard███","bil███ard███","Brian Austin Green Tells MGK to ‘Grow Up’ After Musician’s Split From Megan Fox: ‘She’s Pregnant’","""2024-12-15T05:00:11.000Z""","null","https://x.com/billboard/status/1868159094567121215","null",7,3,43,25007,"https://www.billboard.com/music/music-news/brian-austin-green-reacts-megan-fox-machine-gun-kelly-split-1235856363/?utm_campaign=trueanthem&utm_medium=social&utm_source=twitter","null",14257909,"@billboardcharts • @billboardhiphop • @billboardlatin • @billboardfamily • @billboardpro • @shopbillboard • @billboarddance • @billboardpride",357584,"https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg",3784,false,1,2,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","[""https://pbs.twimg.com/card_img/1867636129563860992/-o2NDovA?format=jpg&name=orig""]","null","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868451534708883739","TNT███rts███","TNT███ort███R","VENCE O PSG NO CLÁSSICO! 💪🇫🇷 Nossa @claalbuquerque traz os detalhes de mais um triunfo do time da capital, dessa vez contra o Lyon, pela #Ligue1 e destaca a atuação de uma jovem promessa da equipe comandada por Luis Enrique!","""2024-12-16T00:22:14.000Z""","null","https://x.com/TNTSportsBR/status/1868451534708883739","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""29627623"",""profile_name"":""Clara Albuquerque"",""url"":""https://x.com/claalbuquerque""}]",2,1,33,15497,"","[""Ligue1""]",8293189,"⚽️ É muito mais Champions na Max, com TODOS os jogos ao vivo!
👇🏻Assine e assista clicando no link👇🏻",456734,"https://pbs.twimg.com/profile_images/1807013047975768065/8sm_IGpw_normal.jpg",859,false,0,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","[{""duration"":94861,""video_url"":""https://video.twimg.com/ext_tw_video/1868451336020205569/pu/vid/avc1/720x1280/tW3zs5KZmhVY4hfX.mp4?tag=12""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868441382022717466","TNT███rts███","TNT███ort███R","ÍDOLO E AGORA PRESIDENTE! 🇦🇷🇦🇷 O ex-atacante Diego Milito foi confirmado como novo presidente do Racing!

🗞️ @TNTSportsAR","""2024-12-15T23:41:54.000Z""","[""https://pbs.twimg.com/media/Ge4JhOgXcAAQy5K.jpg""]","https://x.com/TNTSportsBR/status/1868441382022717466","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""854784383982723072"",""profile_name"":""TNT Sports Argentina"",""url"":""https://x.com/TNTSportsAR""}]",6,5,230,18267,"","null",8293189,"⚽️ É muito mais Champions na Max, com TODOS os jogos ao vivo!
👇🏻Assine e assista clicando no link👇🏻",456734,"https://pbs.twimg.com/profile_images/1807013047975768065/8sm_IGpw_normal.jpg",859,false,1,3,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","null","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868418260892565925","Glo███ews███","Glo███ews███",".@DanielaLima_ : cirurgia de Lula travou negociações para reforma ministerial, que ficou para início de 2025.

➡ Assista à #GloboNews:","""2024-12-15T22:10:01.000Z""","null","https://x.com/GloboNews/status/1868418260892565925","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""67743025"",""profile_name"":""Daniela Lima"",""url"":""https://x.com/DanielaLima_""}]",50,4,84,9569,"http://glo.bo/39WjXAu","[""GloboNews"",""EspecialDeDomingo""]",5771758,"Nunca desliga",222223,"https://pbs.twimg.com/profile_images/1559102712435933185/mYnEVnNs_normal.jpg",122,false,3,3,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","[{""duration"":127067,""video_url"":""https://video.twimg.com/amplify_video/1868416595443257344/vid/avc1/1920x1080/j3wvrSbeafwli783.mp4?tag=16""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868380932962418758","Glo███ews███","Glo███ews███","Começou hoje a segunda fase da Fuvest, vestibular que define os estudantes aprovados para estudar na USP.

➡ Assista à #GloboNews:","""2024-12-15T19:41:41.000Z""","null","https://x.com/GloboNews/status/1868380932962418758","null",1,1,27,8158,"http://glo.bo/39WjXAu","[""GloboNews""]",5771760,"Nunca desliga",222223,"https://pbs.twimg.com/profile_images/1559102712435933185/mYnEVnNs_normal.jpg",122,false,0,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","[{""duration"":110434,""video_url"":""https://video.twimg.com/amplify_video/1868380820777406464/vid/avc1/1920x1080/e1o7uUreqVAr9UwC.mp4?tag=16""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868386052634784163","bil███ard███","bil███ard███","Taylor Swift’s ‘The Tortured Poets Department’ Logs 17th Week at No. 1 on Billboard 200","""2024-12-15T20:02:02.000Z""","null","https://x.com/billboard/status/1868386052634784163","null",9,64,524,63114,"https://www.billboard.com/music/chart-beat/taylor-swift-tortured-poets-department-17th-week-number-one-billboard-200-chart-1235857250/?taid=675f35ba474c59000133b642&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter","null",14257907,"@billboardcharts • @billboardhiphop • @billboardlatin • @billboardfamily • @billboardpro • @shopbillboard • @billboarddance • @billboardpride",357584,"https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg",3784,false,6,9,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","[""https://pbs.twimg.com/card_img/1868069417310994432/YvDeRYWS?format=jpg&name=orig""]","null","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868362011253301608","Glo███ews███","Glo███ews███","As atrizes Fernanda Torres e Fernanda Montenegro são destaque em uma matéria do New York Times. O jornal fala sobre a chance de Oscar de ""Ainda estou aqui"", primeiro filme original do Globoplay.

➡ Assista à #GloboNews:","""2024-12-15T18:26:30.000Z""","null","https://x.com/GloboNews/status/1868362011253301608","null",23,28,208,11057,"http://glo.bo/39WjXAu","[""GloboNews""]",5771762,"Nunca desliga",222223,"https://pbs.twimg.com/profile_images/1559102712435933185/mYnEVnNs_normal.jpg",122,false,1,6,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","null","[{""duration"":106800,""video_url"":""https://video.twimg.com/amplify_video/1868361928646471681/vid/avc1/1920x1080/hnvWgqAh9MVLH_Gq.mp4?tag=16""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868453532929552384","bil███ard███","bil███ard███","Blink-182’s Tom DeLonge Shares His Theory on New Jersey Drone Sightings","""2024-12-16T00:30:11.000Z""","null","https://x.com/billboard/status/1868453532929552384","null",4,5,19,12635,"https://www.billboard.com/music/music-news/blink-182-tom-delonge-new-jersey-drone-sightings-reaction-1235857206/?utm_campaign=trueanthem&utm_medium=social&utm_source=twitter","null",14258370,"@billboardcharts • @billboardhiphop • @billboardlatin • @billboardfamily • @billboardpro • @shopbillboard • @billboarddance • @billboardpride",357584,"https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg",3784,false,1,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","[""https://pbs.twimg.com/card_img/1867120836962029568/-16tEbpB?format=jpg&name=orig""]","null","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1868430929389105388","bil███ard███","bil███ard███","Taylor Swift’s Birthday Gift to Fans: A Quiet Release of These Behind-the-Scenes Videos","""2024-12-15T23:00:21.000Z""","null","https://x.com/billboard/status/1868430929389105388","null",3,7,51,14229,"https://www.billboard.com/music/pop/taylor-swift-birthday-35-behind-the-scenes-videos-eras-archive-1235857085/?utm_campaign=trueanthem&utm_medium=social&utm_source=twitter","null",14257907,"@billboardcharts • @billboardhiphop • @billboardlatin • @billboardfamily • @billboardpro • @shopbillboard • @billboarddance • @billboardpride",357584,"https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg",3784,false,1,3,"{""post_id"":null,""profile_id"":null,""profile_name"":null}","[""https://pbs.twimg.com/card_img/1868023434690625537/BTGXSVLl?format=jpg&name=orig""]","null","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
